Logistic Regression
Average_ECE_across_all_datasets_before_calibration: 0.013714444444444442
Average_ECE_across_all_datasets_after_calibration: 0.009564444444444445
Average_ACC_across_all_datasets_before_calibration: 0.73026
Average_ACC_across_all_datasets_after_calibration: 0.756712
Linear SVM
Average_ECE_across_all_datasets_before_calibration: 0.013845555555555555
Average_ECE_across_all_datasets_after_calibration: 0.008264444444444446
Average_ACC_across_all_datasets_before_calibration: 0.7424519999999999
Average_ACC_across_all_datasets_after_calibration: 0.746056
Decision Tree
Average_ECE_across_all_datasets_before_calibration: 0.01918111111111111
Average_ECE_across_all_datasets_after_calibration: 0.02065
Average_ACC_across_all_datasets_before_calibration: 0.757976
Average_ACC_across_all_datasets_after_calibration: 0.756532
Random Forest
Average_ECE_across_all_datasets_before_calibration: 0.11805777777777778
Average_ECE_across_all_datasets_after_calibration: 0.015055555555555555
Average_ACC_across_all_datasets_before_calibration: 0.7820479999999999
Average_ACC_across_all_datasets_after_calibration: 0.7718320000000001
Neural Net
Average_ECE_across_all_datasets_before_calibration: 0.02555
Average_ECE_across_all_datasets_after_calibration: 0.010154444444444447
Average_ACC_across_all_datasets_before_calibration: 0.8088000000000001
Average_ACC_across_all_datasets_after_calibration: 0.8110280000000001
AdaBoost
Average_ECE_across_all_datasets_before_calibration: 0.3777811111111111
Average_ECE_across_all_datasets_after_calibration: 0.002774444444444445
Average_ACC_across_all_datasets_before_calibration: 0.58656
Average_ACC_across_all_datasets_after_calibration: 0.6034240000000001
Naive Bayes
Average_ECE_across_all_datasets_before_calibration: 0.04108666666666666
Average_ECE_across_all_datasets_after_calibration: 0.017665555555555556
Average_ACC_across_all_datasets_before_calibration: 0.8863
Average_ACC_across_all_datasets_after_calibration: 0.8820719999999997
