Logistic Regression
Average_ECE_across_all_datasets_before_calibration: 0.004183999999999999
Average_ECE_across_all_datasets_after_calibration: 0.002496
Average_ACC_across_all_datasets_before_calibration: 0.653124
Average_ACC_across_all_datasets_after_calibration: 0.6847360000000001
Linear SVM
Average_ECE_across_all_datasets_before_calibration: 0.002992
Average_ECE_across_all_datasets_after_calibration: 0.0018420000000000003
Average_ACC_across_all_datasets_before_calibration: 0.619896
Average_ACC_across_all_datasets_after_calibration: 0.64096
Decision Tree
Average_ECE_across_all_datasets_before_calibration: 0.019184
Average_ECE_across_all_datasets_after_calibration: 0.013570000000000002
Average_ACC_across_all_datasets_before_calibration: 0.639404
Average_ACC_across_all_datasets_after_calibration: 0.668064
Random Forest
Average_ECE_across_all_datasets_before_calibration: 0.065414
Average_ECE_across_all_datasets_after_calibration: 0.0051860000000000005
Average_ACC_across_all_datasets_before_calibration: 0.7032200000000001
Average_ACC_across_all_datasets_after_calibration: 0.716848
Neural Net
Average_ECE_across_all_datasets_before_calibration: 0.011878
Average_ECE_across_all_datasets_after_calibration: 0.00321
Average_ACC_across_all_datasets_before_calibration: 0.710104
Average_ACC_across_all_datasets_after_calibration: 0.71946
AdaBoost
Average_ECE_across_all_datasets_before_calibration: 0.122828
Average_ECE_across_all_datasets_after_calibration: 0.0013939999999999998
Average_ACC_across_all_datasets_before_calibration: 0.5652079999999999
Average_ACC_across_all_datasets_after_calibration: 0.5902000000000001
Naive Bayes
Average_ECE_across_all_datasets_before_calibration: 0.027129999999999998
Average_ECE_across_all_datasets_after_calibration: 0.01476
Average_ACC_across_all_datasets_before_calibration: 0.8374
Average_ACC_across_all_datasets_after_calibration: 0.835244
