Logistic Regression
Average_ECE_across_all_datasets_before_calibration: 0.0030225
Average_ECE_across_all_datasets_after_calibration: 0.0024324999999999998
Average_ACC_across_all_datasets_before_calibration: 0.662812
Average_ACC_across_all_datasets_after_calibration: 0.6877600000000001
Linear SVM
Average_ECE_across_all_datasets_before_calibration: 0.0007275000000000001
Average_ECE_across_all_datasets_after_calibration: 0.001175
Average_ACC_across_all_datasets_before_calibration: 0.610024
Average_ACC_across_all_datasets_after_calibration: 0.6136199999999999
Decision Tree
Average_ECE_across_all_datasets_before_calibration: 0.0124025
Average_ECE_across_all_datasets_after_calibration: 0.01099
Average_ACC_across_all_datasets_before_calibration: 0.63188
Average_ACC_across_all_datasets_after_calibration: 0.6472239999999999
Random Forest
Average_ECE_across_all_datasets_before_calibration: 0.06284
Average_ECE_across_all_datasets_after_calibration: 0.004485
Average_ACC_across_all_datasets_before_calibration: 0.6895800000000001
Average_ACC_across_all_datasets_after_calibration: 0.715292
Neural Net
Average_ECE_across_all_datasets_before_calibration: 0.009887499999999999
Average_ECE_across_all_datasets_after_calibration: 0.00208
Average_ACC_across_all_datasets_before_calibration: 0.71024
Average_ACC_across_all_datasets_after_calibration: 0.725224
AdaBoost
Average_ECE_across_all_datasets_before_calibration: 0.0745875
Average_ECE_across_all_datasets_after_calibration: 0.0015225
Average_ACC_across_all_datasets_before_calibration: 0.6173919999999999
Average_ACC_across_all_datasets_after_calibration: 0.6098
Naive Bayes
Average_ECE_across_all_datasets_before_calibration: 0.0200225
Average_ECE_across_all_datasets_after_calibration: 0.014632500000000001
Average_ACC_across_all_datasets_before_calibration: 0.7785
Average_ACC_across_all_datasets_after_calibration: 0.773652
