Logistic Regression
Average_ECE_across_all_datasets_before_calibration: 0.0015266666666666668
Average_ECE_across_all_datasets_after_calibration: 0.0013
Average_ACC_across_all_datasets_before_calibration: 0.613236
Average_ACC_across_all_datasets_after_calibration: 0.628332
Linear SVM
Average_ECE_across_all_datasets_before_calibration: 0.00044333333333333334
Average_ECE_across_all_datasets_after_calibration: 0.0004266666666666666
Average_ACC_across_all_datasets_before_calibration: 0.5698
Average_ACC_across_all_datasets_after_calibration: 0.569488
Decision Tree
Average_ECE_across_all_datasets_before_calibration: 0.0026066666666666664
Average_ECE_across_all_datasets_after_calibration: 0.004053333333333333
Average_ACC_across_all_datasets_before_calibration: 0.5941000000000001
Average_ACC_across_all_datasets_after_calibration: 0.600596
Random Forest
Average_ECE_across_all_datasets_before_calibration: 0.040433333333333335
Average_ECE_across_all_datasets_after_calibration: 0.0021966666666666666
Average_ACC_across_all_datasets_before_calibration: 0.6119079999999999
Average_ACC_across_all_datasets_after_calibration: 0.6381479999999999
Neural Net
Average_ECE_across_all_datasets_before_calibration: 0.006286666666666665
Average_ECE_across_all_datasets_after_calibration: 0.0021333333333333334
Average_ACC_across_all_datasets_before_calibration: 0.6309120000000001
Average_ACC_across_all_datasets_after_calibration: 0.645588
AdaBoost
Average_ECE_across_all_datasets_before_calibration: 0.036313333333333336
Average_ECE_across_all_datasets_after_calibration: 0.0010366666666666669
Average_ACC_across_all_datasets_before_calibration: 0.512872
Average_ACC_across_all_datasets_after_calibration: 0.528144
Naive Bayes
Average_ECE_across_all_datasets_before_calibration: 0.00897
Average_ECE_across_all_datasets_after_calibration: 0.005026666666666667
Average_ACC_across_all_datasets_before_calibration: 0.700908
Average_ACC_across_all_datasets_after_calibration: 0.698856
