Logistic Regression
Average_ECE_across_all_datasets_before_calibration: 0.0184
Average_ECE_across_all_datasets_after_calibration: 0.009123
Average_ACC_across_all_datasets_before_calibration: 0.799636
Average_ACC_across_all_datasets_after_calibration: 0.811028
Linear SVM
Average_ECE_across_all_datasets_before_calibration: 0.018252
Average_ECE_across_all_datasets_after_calibration: 0.008891000000000001
Average_ACC_across_all_datasets_before_calibration: 0.809636
Average_ACC_across_all_datasets_after_calibration: 0.815396
Decision Tree
Average_ECE_across_all_datasets_before_calibration: 0.019666
Average_ECE_across_all_datasets_after_calibration: 0.020290999999999997
Average_ACC_across_all_datasets_before_calibration: 0.781184
Average_ACC_across_all_datasets_after_calibration: 0.785944
Random Forest
Average_ECE_across_all_datasets_before_calibration: 0.11750699999999999
Average_ECE_across_all_datasets_after_calibration: 0.011948
Average_ACC_across_all_datasets_before_calibration: 0.751208
Average_ACC_across_all_datasets_after_calibration: 0.794864
Neural Net
Average_ECE_across_all_datasets_before_calibration: 0.027256000000000002
Average_ECE_across_all_datasets_after_calibration: 0.010617999999999999
Average_ACC_across_all_datasets_before_calibration: 0.8626280000000002
Average_ACC_across_all_datasets_after_calibration: 0.862288
AdaBoost
Average_ECE_across_all_datasets_before_calibration: 0.391859
Average_ECE_across_all_datasets_after_calibration: 0.002993
Average_ACC_across_all_datasets_before_calibration: 0.550384
Average_ACC_across_all_datasets_after_calibration: 0.55362
Naive Bayes
Average_ECE_across_all_datasets_before_calibration: 0.04231499999999999
Average_ECE_across_all_datasets_after_calibration: 0.017730000000000003
Average_ACC_across_all_datasets_before_calibration: 0.8937479999999999
Average_ACC_across_all_datasets_after_calibration: 0.892548
