Logistic Regression
Average_ECE_across_all_datasets_before_calibration: 0.00075
Average_ECE_across_all_datasets_after_calibration: 0.0006000000000000001
Average_ACC_across_all_datasets_before_calibration: 0.618212
Average_ACC_across_all_datasets_after_calibration: 0.6254120000000001
Linear SVM
Average_ECE_across_all_datasets_before_calibration: 0.00054
Average_ECE_across_all_datasets_after_calibration: 0.00053
Average_ACC_across_all_datasets_before_calibration: 0.5534840000000001
Average_ACC_across_all_datasets_after_calibration: 0.5844440000000001
Decision Tree
Average_ECE_across_all_datasets_before_calibration: 8e-05
Average_ECE_across_all_datasets_after_calibration: 0.00022
Average_ACC_across_all_datasets_before_calibration: 0.590628
Average_ACC_across_all_datasets_after_calibration: 0.46361600000000003
Random Forest
Average_ECE_across_all_datasets_before_calibration: 0.00824
Average_ECE_across_all_datasets_after_calibration: 0.00067
Average_ACC_across_all_datasets_before_calibration: 0.539704
Average_ACC_across_all_datasets_after_calibration: 0.546728
Neural Net
Average_ECE_across_all_datasets_before_calibration: 0.00292
Average_ECE_across_all_datasets_after_calibration: 0.00016
Average_ACC_across_all_datasets_before_calibration: 0.621016
Average_ACC_across_all_datasets_after_calibration: 0.6463840000000001
AdaBoost
Average_ECE_across_all_datasets_before_calibration: 8e-05
Average_ECE_across_all_datasets_after_calibration: 0.00040999999999999994
Average_ACC_across_all_datasets_before_calibration: 0.502044
Average_ACC_across_all_datasets_after_calibration: 0.46418800000000005
Naive Bayes
Average_ECE_across_all_datasets_before_calibration: 0.0
Average_ECE_across_all_datasets_after_calibration: 0.0
Average_ACC_across_all_datasets_before_calibration: 0.5051120000000001
Average_ACC_across_all_datasets_after_calibration: 0.5071960000000001
