Logistic Regression
Average_ECE_across_all_datasets_before_calibration: 0.006792857142857144
Average_ECE_across_all_datasets_after_calibration: 0.00494
Average_ACC_across_all_datasets_before_calibration: 0.6376199999999999
Average_ACC_across_all_datasets_after_calibration: 0.661676
Linear SVM
Average_ECE_across_all_datasets_before_calibration: 0.005254285714285715
Average_ECE_across_all_datasets_after_calibration: 0.004327142857142857
Average_ACC_across_all_datasets_before_calibration: 0.619332
Average_ACC_across_all_datasets_after_calibration: 0.647956
Decision Tree
Average_ECE_across_all_datasets_before_calibration: 0.01932
Average_ECE_across_all_datasets_after_calibration: 0.02031
Average_ACC_across_all_datasets_before_calibration: 0.6224280000000001
Average_ACC_across_all_datasets_after_calibration: 0.67206
Random Forest
Average_ECE_across_all_datasets_before_calibration: 0.09592428571428571
Average_ECE_across_all_datasets_after_calibration: 0.008792857142857142
Average_ACC_across_all_datasets_before_calibration: 0.7072560000000001
Average_ACC_across_all_datasets_after_calibration: 0.700404
Neural Net
Average_ECE_across_all_datasets_before_calibration: 0.01722857142857143
Average_ECE_across_all_datasets_after_calibration: 0.005658571428571429
Average_ACC_across_all_datasets_before_calibration: 0.690976
Average_ACC_across_all_datasets_after_calibration: 0.693208
AdaBoost
Average_ECE_across_all_datasets_before_calibration: 0.28771
Average_ECE_across_all_datasets_after_calibration: 0.0014442857142857144
Average_ACC_across_all_datasets_before_calibration: 0.519744
Average_ACC_across_all_datasets_after_calibration: 0.552144
Naive Bayes
Average_ECE_across_all_datasets_before_calibration: 0.035558571428571425
Average_ECE_across_all_datasets_after_calibration: 0.018077142857142854
Average_ACC_across_all_datasets_before_calibration: 0.8464280000000001
Average_ACC_across_all_datasets_after_calibration: 0.846252
